STUDY_ID	SAMPLE_ID	KRAS	BRCA1	POLE
brca_tcga_pub	TCGA-A2-A0EN-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A12A-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CP-01	0.961	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A126-01	0.3047	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A125-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0EM-01	1.0227	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A04N-01	-0.4898	-0.0961	-0.0852
brca_tcga_pub	TCGA-AQ-A04L-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IO-01	1.2678	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IP-01	0.5922	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0WZ-01	1.1692	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0I5-01	0.6947	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RV-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RO-01	-0.2497	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RN-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0WT-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IA-01	2.0257	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RI-01	0.0626	-0.0961	-0.0852
brca_tcga_pub	TCGA-A1-A0SE-01	0.4365	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0EX-01	0.2488	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0JJ-01	-0.7152	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A105-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A1-A0SD-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A1-A0SH-01	-0.1995	-0.0961	-0.0852
brca_tcga_pub	TCGA-A1-A0SJ-01	0.5	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A06P-01	-0.2398	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A06T-01	-0.8369	-0.0961	-0.0852
